CustomerKey,CustomerName,Segment,Gender,AgeBand,City,Region,Country,JoinDate,LoyaltyTier,IncomeBand,IsCorporate,PreferredChannelKey
5065,Logan Brown 65,Consumer,NA,25-34,San Francisco,West,USA,2023-08-25,Bronze,Mid,0,2
5066,Skyler Hall 66,Consumer,F,55+,Cleveland,North,USA,2019-01-18,Silver,Low,0,4
5067,Taylor King 67,Corporate,F,18-24,San Francisco,West,USA,2025-09-25,Silver,Lower-Mid,1,2
5068,Sam Davis 68,Consumer,M,45-54,Atlanta,South,USA,2020-07-19,Silver,Upper-Mid,0,3
5069,Cameron Hall 69,Small Business,NA,25-34,Philadelphia,East,USA,2021-05-08,Silver,Lower-Mid,1,2
5070,Logan Clark 70,Small Business,NA,35-44,Atlanta,South,USA,2025-05-26,Platinum,Upper-Mid,1,4
5071,Parker Johnson 71,Small Business,F,25-34,Washington,East,USA,2019-08-06,Silver,Lower-Mid,1,1
5072,Alex King 72,Consumer,M,25-34,Philadelphia,East,USA,2025-01-25,Bronze,Upper-Mid,0,1
5073,Logan Wright 73,Consumer,NA,25-34,Miami,South,USA,2019-07-12,Platinum,Mid,0,4
5074,Riley Brown 74,Consumer,NA,45-54,New York,East,USA,2023-12-20,Gold,High,0,2
5075,Morgan Davis 75,Small Business,M,25-34,Boston,East,USA,2019-11-02,Bronze,Lower-Mid,1,2
5076,Taylor Lee 76,Corporate,NA,45-54,Seattle,West,USA,2019-01-24,Bronze,Upper-Mid,0,1
5077,Rowan Allen 77,Small Business,NA,25-34,New York,East,USA,2025-06-03,Silver,Low,1,2
5078,Taylor Lewis 78,Small Business,NA,35-44,Dallas,South,USA,2020-01-12,Bronze,Upper-Mid,1,1
5079,Skyler Hall 79,Home Office,M,55+,Boston,East,USA,2019-02-06,Bronze,Lower-Mid,0,1
5080,Sam Lewis 80,Corporate,F,25-34,Dallas,South,USA,2025-01-21,Gold,Low,1,3
5081,Cameron Young 81,Consumer,F,25-34,Phoenix,West,USA,2019-12-04,Platinum,Lower-Mid,0,4
5082,Rowan Wright 82,Consumer,F,45-54,Chicago,North,USA,2023-10-04,Gold,Lower-Mid,0,3
5083,Taylor Smith 83,Small Business,M,45-54,Los Angeles,West,USA,2019-06-05,Bronze,Low,1,2
5084,Avery Young 84,Consumer,M,25-34,Atlanta,South,USA,2019-03-11,Silver,Low,0,1
5085,Jordan Clark 85,Small Business,NA,18-24,Chicago,North,USA,2022-05-19,Silver,Lower-Mid,1,2
5086,Morgan Lee 86,Consumer,NA,25-34,Cleveland,North,USA,2025-02-13,Bronze,Mid,0,1
5087,Parker Lee 87,Corporate,F,18-24,New York,East,USA,2025-06-03,Silver,Mid,1,1
5088,Rowan Scott 88,Consumer,NA,25-34,Boston,East,USA,2021-01-23,Bronze,Upper-Mid,0,1
5089,Cameron Hall 89,Small Business,M,35-44,Dallas,South,USA,2019-10-27,Bronze,Low,0,3
5090,Rowan Young 90,Consumer,F,18-24,Seattle,West,USA,2019-10-13,Platinum,Lower-Mid,0,2
5091,Sam Wright 91,Corporate,M,55+,Boston,East,USA,2020-11-21,Bronze,Lower-Mid,0,3
5092,Taylor Young 92,Small Business,NA,25-34,Seattle,West,USA,2024-05-19,Silver,Mid,1,2
5093,Drew Scott 93,Small Business,F,55+,Dallas,South,USA,2021-03-15,Bronze,Upper-Mid,0,1
5094,Skyler Lewis 94,Small Business,NA,25-34,Chicago,North,USA,2019-05-31,Silver,Mid,1,2
5095,Cameron Wright 95,Consumer,NA,45-54,Atlanta,South,USA,2022-04-06,Bronze,Mid,0,1
5096,Drew Wright 96,Corporate,NA,35-44,New York,East,USA,2024-10-06,Bronze,Lower-Mid,1,2
5097,Alex Brown 97,Home Office,M,25-34,Miami,South,USA,2021-12-18,Bronze,Low,0,1
5098,Avery Green 98,Consumer,F,18-24,Washington,East,USA,2022-08-20,Bronze,High,0,2
5099,Skyler Lee 99,Corporate,M,35-44,Philadelphia,East,USA,2023-02-05,Silver,Upper-Mid,0,1
5100,Drew Clark 100,Consumer,M,45-54,Miami,South,USA,2025-10-10,Bronze,Upper-Mid,0,2
5101,Riley Brown 101,Consumer,F,25-34,Dallas,South,USA,2023-01-23,Silver,Upper-Mid,0,2
5102,Avery Young 102,Small Business,M,35-44,Seattle,West,USA,2025-08-16,Bronze,Upper-Mid,0,1
5103,Alex Green 103,Corporate,NA,25-34,Houston,South,USA,2020-11-12,Bronze,Lower-Mid,1,2
5104,Morgan Walker 104,Home Office,NA,55+,Minneapolis,North,USA,2024-05-26,Bronze,Upper-Mid,0,2
5105,Rowan Clark 105,Consumer,M,35-44,Atlanta,South,USA,2019-10-09,Bronze,Mid,0,1
5106,Skyler Johnson 106,Small Business,F,35-44,Miami,South,USA,2025-09-22,Bronze,Upper-Mid,1,1
5107,Parker Scott 107,Home Office,F,55+,San Francisco,West,USA,2023-11-03,Silver,Mid,0,1
5108,Avery Wright 108,Home Office,M,25-34,San Francisco,West,USA,2025-06-17,Bronze,Lower-Mid,0,2
5109,Cameron Hall 109,Consumer,M,25-34,Dallas,South,USA,2019-01-23,Gold,Upper-Mid,0,2
5110,Morgan King 110,Consumer,M,25-34,Chicago,North,USA,2020-03-12,Bronze,Mid,0,1
5111,Rowan Lewis 111,Corporate,F,25-34,Seattle,West,USA,2025-04-02,Silver,Mid,1,1
5112,Casey King 112,Small Business,F,45-54,Philadelphia,East,USA,2020-05-02,Gold,Mid,1,1
5113,Logan Hall 113,Small Business,NA,45-54,Miami,South,USA,2019-08-02,Bronze,High,0,1
5114,Casey Johnson 114,Home Office,F,25-34,Miami,South,USA,2023-02-27,Bronze,Low,0,2
5115,Skyler Smith 115,Small Business,F,35-44,Seattle,West,USA,2023-12-04,Bronze,Upper-Mid,1,2
5116,Parker Hall 116,Small Business,NA,25-34,Dallas,South,USA,2020-11-25,Silver,Mid,1,4
5117,Sam Young 117,Small Business,M,25-34,Minneapolis,North,USA,2021-03-31,Silver,Upper-Mid,0,1
5118,Drew Davis 118,Consumer,F,35-44,Philadelphia,East,USA,2021-03-07,Silver,Mid,0,1
5119,Parker Johnson 119,Consumer,NA,25-34,Miami,South,USA,2020-04-24,Gold,High,0,4
5120,Skyler Walker 120,Home Office,F,45-54,Washington,East,USA,2024-02-23,Silver,Upper-Mid,0,4
5121,Casey Young 121,Consumer,F,35-44,Los Angeles,West,USA,2021-07-30,Gold,Mid,0,2
5122,Jordan Lewis 122,Consumer,NA,45-54,Minneapolis,North,USA,2022-11-01,Bronze,High,0,2
5123,Riley Lee 123,Small Business,NA,35-44,Boston,East,USA,2021-02-17,Silver,Lower-Mid,1,4
5124,Morgan Scott 124,Consumer,NA,25-34,Houston,South,USA,2020-03-12,Bronze,Low,0,4
5125,Parker Smith 125,Small Business,M,25-34,Los Angeles,West,USA,2022-07-15,Silver,High,1,4
5126,Cameron Hall 126,Home Office,M,25-34,San Francisco,West,USA,2025-06-20,Bronze,Mid,0,2
5127,Rowan Wright 127,Consumer,F,35-44,Minneapolis,North,USA,2020-05-08,Silver,Mid,0,2
5128,Jordan Clark 128,Consumer,M,35-44,Detroit,North,USA,2021-11-29,Bronze,Lower-Mid,0,1
5129,Casey Brown 129,Consumer,M,45-54,Philadelphia,East,USA,2023-03-05,Bronze,Mid,0,2
5130,Jamie Davis 130,Small Business,F,35-44,Houston,South,USA,2023-04-10,Bronze,Upper-Mid,1,2
5131,Taylor Green 131,Consumer,NA,35-44,Detroit,North,USA,2022-07-17,Gold,Lower-Mid,0,2
5132,Taylor Smith 132,Consumer,F,45-54,Cleveland,North,USA,2024-05-05,Gold,Low,0,3
5133,Parker Green 133,Consumer,M,25-34,Philadelphia,East,USA,2023-08-14,Bronze,Upper-Mid,0,4
5134,Riley Clark 134,Home Office,M,35-44,Houston,South,USA,2024-06-19,Gold,Mid,0,1
5135,Taylor Scott 135,Corporate,F,35-44,Washington,East,USA,2022-10-13,Silver,Mid,1,4
5136,Sam Clark 136,Consumer,NA,25-34,Detroit,North,USA,2021-12-31,Silver,Mid,0,4
5137,Taylor Scott 137,Consumer,F,25-34,Washington,East,USA,2021-08-19,Silver,High,0,2
5138,Jordan Johnson 138,Consumer,F,55+,Detroit,North,USA,2024-04-22,Silver,Low,0,2
5139,Taylor Johnson 139,Consumer,NA,55+,Chicago,North,USA,2023-05-16,Bronze,Lower-Mid,0,1
5140,Taylor Smith 140,Consumer,F,35-44,Houston,South,USA,2022-08-25,Gold,Mid,0,4
5141,Jamie Hall 141,Consumer,F,35-44,Washington,East,USA,2024-02-14,Silver,Mid,0,2
5142,Morgan Wright 142,Consumer,F,35-44,Philadelphia,East,USA,2023-02-07,Silver,Lower-Mid,0,1
5143,Parker Smith 143,Consumer,NA,55+,Atlanta,South,USA,2024-05-08,Bronze,Upper-Mid,0,3
5144,Morgan Lewis 144,Consumer,NA,25-34,Dallas,South,USA,2021-10-20,Bronze,Upper-Mid,0,2
5145,Casey Young 145,Consumer,F,35-44,San Francisco,West,USA,2022-01-18,Bronze,Upper-Mid,0,3
5146,Taylor Lee 146,Small Business,M,18-24,San Francisco,West,USA,2024-02-09,Silver,Lower-Mid,1,1
5147,Parker Smith 147,Consumer,F,55+,Detroit,North,USA,2022-03-01,Bronze,Upper-Mid,0,3
5148,Avery Brown 148,Consumer,M,25-34,Dallas,South,USA,2024-08-03,Platinum,Mid,0,3
5149,Taylor Smith 149,Small Business,M,45-54,New York,East,USA,2019-10-20,Silver,Lower-Mid,1,1
5150,Logan King 150,Consumer,F,25-34,Los Angeles,West,USA,2023-12-20,Bronze,High,0,1
5151,Rowan Davis 151,Consumer,M,25-34,Detroit,North,USA,2019-06-22,Gold,Mid,0,1
5152,Cameron Smith 152,Consumer,NA,25-34,Seattle,West,USA,2020-04-07,Bronze,Mid,0,1
5153,Morgan Smith 153,Consumer,F,35-44,New York,East,USA,2024-04-30,Silver,Lower-Mid,0,3
5154,Rowan Allen 154,Consumer,M,55+,Houston,South,USA,2019-09-03,Bronze,Mid,0,2
5155,Sam Hall 155,Consumer,NA,45-54,Detroit,North,USA,2023-12-02,Gold,Low,0,2
5156,Avery King 156,Small Business,M,35-44,Atlanta,South,USA,2025-02-01,Silver,Lower-Mid,0,2
5157,Skyler Green 157,Small Business,NA,25-34,Seattle,West,USA,2024-12-15,Bronze,Lower-Mid,0,2
5158,Cameron Smith 158,Small Business,NA,45-54,Cleveland,North,USA,2021-09-05,Bronze,Low,1,3
5159,Taylor Allen 159,Small Business,M,25-34,Miami,South,USA,2022-08-12,Bronze,Mid,0,3
5160,Morgan Johnson 160,Small Business,M,25-34,Houston,South,USA,2019-05-11,Silver,Upper-Mid,1,2
5161,Skyler King 161,Consumer,F,18-24,New York,East,USA,2021-05-04,Silver,High,0,3
5162,Jamie Green 162,Consumer,M,45-54,Los Angeles,West,USA,2019-08-27,Gold,Lower-Mid,0,1
5163,Morgan Hall 163,Consumer,F,18-24,Minneapolis,North,USA,2021-08-04,Silver,Lower-Mid,0,2
5164,Parker Lewis 164,Corporate,NA,18-24,Houston,South,USA,2025-06-19,Bronze,Mid,1,4
5165,Parker Clark 165,Consumer,NA,25-34,Houston,South,USA,2025-09-23,Silver,Mid,0,1
5166,Rowan Lewis 166,Consumer,NA,25-34,Philadelphia,East,USA,2021-09-12,Silver,Lower-Mid,0,3
5167,Avery Lewis 167,Home Office,F,45-54,Philadelphia,East,USA,2022-03-11,Silver,Mid,0,4
5168,Morgan Brown 168,Consumer,M,18-24,New York,East,USA,2022-02-04,Platinum,Mid,0,2
5169,Sam Lee 169,Consumer,F,25-34,Dallas,South,USA,2025-07-12,Bronze,Lower-Mid,0,1
5170,Jamie Clark 170,Small Business,M,25-34,San Francisco,West,USA,2025-06-18,Gold,Low,1,1
5171,Cameron Wright 171,Small Business,M,25-34,Los Angeles,West,USA,2023-11-14,Silver,Upper-Mid,1,1
5172,Parker Smith 172,Consumer,M,35-44,Cleveland,North,USA,2020-09-04,Bronze,Upper-Mid,0,1
5173,Skyler Hall 173,Small Business,F,25-34,Phoenix,West,USA,2022-04-01,Gold,Lower-Mid,1,2
5174,Casey Hall 174,Consumer,M,45-54,Cleveland,North,USA,2020-06-18,Gold,Mid,0,1
5175,Jamie Hall 175,Corporate,F,25-34,San Francisco,West,USA,2021-12-26,Gold,Lower-Mid,1,1
5176,Morgan Clark 176,Consumer,M,35-44,Phoenix,West,USA,2019-04-10,Gold,Lower-Mid,0,2
5177,Cameron Scott 177,Consumer,F,25-34,San Francisco,West,USA,2023-03-12,Bronze,Upper-Mid,0,1
5178,Cameron Lee 178,Home Office,M,18-24,Detroit,North,USA,2020-03-31,Bronze,Mid,0,1
5179,Logan Davis 179,Consumer,NA,35-44,Houston,South,USA,2020-08-01,Silver,Mid,0,2
5180,Riley Brown 180,Consumer,NA,35-44,Minneapolis,North,USA,2019-08-06,Silver,High,0,1
5181,Alex Davis 181,Small Business,NA,25-34,Philadelphia,East,USA,2023-04-09,Silver,Upper-Mid,1,2
5182,Avery Hall 182,Consumer,NA,18-24,Detroit,North,USA,2021-10-10,Platinum,Lower-Mid,0,2
5183,Sam Clark 183,Consumer,NA,25-34,Dallas,South,USA,2024-08-15,Bronze,Low,0,1
5184,Riley Brown 184,Home Office,F,25-34,Los Angeles,West,USA,2023-05-29,Silver,Low,0,2
5185,Taylor Lewis 185,Consumer,M,55+,Miami,South,USA,2022-09-10,Silver,Lower-Mid,0,2
5186,Jamie Green 186,Consumer,NA,55+,Houston,South,USA,2023-10-28,Platinum,High,0,1
5187,Parker King 187,Consumer,F,25-34,Atlanta,South,USA,2020-08-19,Gold,Upper-Mid,0,4
5188,Jamie Green 188,Consumer,NA,55+,Phoenix,West,USA,2022-01-26,Bronze,Lower-Mid,0,1
5189,Skyler Brown 189,Corporate,NA,25-34,Minneapolis,North,USA,2019-04-17,Bronze,Mid,1,2
5190,Casey Walker 190,Consumer,M,25-34,Seattle,West,USA,2021-03-02,Bronze,Mid,0,4
5191,Rowan Brown 191,Consumer,F,18-24,Washington,East,USA,2023-12-05,Gold,Mid,0,1
5192,Logan Smith 192,Consumer,NA,45-54,San Francisco,West,USA,2023-04-08,Gold,Mid,0,4
5193,Drew Green 193,Consumer,F,55+,Chicago,North,USA,2021-10-03,Silver,Mid,0,3
5194,Avery Lewis 194,Consumer,M,45-54,Los Angeles,West,USA,2022-03-17,Silver,Mid,0,2
5195,Rowan Walker 195,Consumer,F,45-54,Detroit,North,USA,2020-04-08,Bronze,Mid,0,4
5196,Avery Smith 196,Consumer,F,35-44,Miami,South,USA,2021-04-07,Gold,Low,0,1
5197,Jamie Walker 197,Consumer,NA,25-34,Dallas,South,USA,2024-11-15,Gold,Upper-Mid,0,4
5198,Alex Wright 198,Corporate,F,55+,Miami,South,USA,2025-05-05,Gold,Upper-Mid,0,1
5199,Jamie Wright 199,Consumer,M,25-34,Cleveland,North,USA,2021-01-10,Bronze,Lower-Mid,0,1
5200,Drew Walker 200,Consumer,NA,45-54,New York,East,USA,2025-10-26,Gold,Lower-Mid,0,2
5201,Jordan Allen 201,Consumer,NA,18-24,Phoenix,West,USA,2025-02-19,Bronze,Mid,0,3
5202,Alex Young 202,Consumer,M,18-24,Dallas,South,USA,2019-05-13,Silver,Upper-Mid,0,1
5203,Taylor Lee 203,Consumer,NA,25-34,Chicago,North,USA,2025-09-02,Silver,Mid,0,4
5204,Riley Clark 204,Consumer,M,55+,New York,East,USA,2019-10-05,Gold,Upper-Mid,0,1
5205,Drew Davis 205,Consumer,M,35-44,San Francisco,West,USA,2024-11-18,Bronze,Lower-Mid,0,1
5206,Skyler Green 206,Small Business,NA,25-34,Cleveland,North,USA,2025-10-29,Gold,Lower-Mid,1,2
5207,Rowan Walker 207,Consumer,M,45-54,Miami,South,USA,2025-11-01,Bronze,Lower-Mid,0,1
5208,Logan Johnson 208,Consumer,NA,45-54,Chicago,North,USA,2023-08-26,Silver,Lower-Mid,0,2
5209,Jamie Davis 209,Corporate,M,45-54,Dallas,South,USA,2022-06-14,Bronze,Mid,1,1
5210,Skyler Allen 210,Consumer,F,45-54,Philadelphia,East,USA,2021-03-05,Bronze,Lower-Mid,0,2
5211,Avery Lee 211,Corporate,NA,35-44,Los Angeles,West,USA,2025-01-08,Gold,Mid,1,4
5212,Rowan Clark 212,Corporate,NA,35-44,Minneapolis,North,USA,2021-05-03,Silver,Lower-Mid,1,3
5213,Alex Clark 213,Consumer,M,35-44,Detroit,North,USA,2020-11-10,Silver,Mid,0,2
5214,Riley Lewis 214,Small Business,F,35-44,Philadelphia,East,USA,2021-08-31,Bronze,Upper-Mid,1,2
5215,Alex Wright 215,Consumer,F,55+,Dallas,South,USA,2023-12-23,Silver,Upper-Mid,0,4
5216,Avery King 216,Consumer,NA,25-34,Houston,South,USA,2022-09-02,Bronze,Upper-Mid,0,3
5217,Avery Lewis 217,Small Business,NA,45-54,Houston,South,USA,2020-04-19,Bronze,High,1,2
5218,Alex Johnson 218,Consumer,NA,45-54,Minneapolis,North,USA,2022-07-03,Bronze,Upper-Mid,0,2
5219,Riley Davis 219,Consumer,NA,25-34,Atlanta,South,USA,2023-12-12,Silver,Lower-Mid,0,1
5220,Parker Hall 220,Home Office,F,25-34,Chicago,North,USA,2022-12-05,Silver,Lower-Mid,0,4
5221,Riley Allen 221,Consumer,M,35-44,Boston,East,USA,2019-07-27,Bronze,Mid,0,2
5222,Casey Lewis 222,Consumer,F,45-54,Cleveland,North,USA,2025-08-24,Silver,Upper-Mid,0,2
5223,Morgan King 223,Consumer,NA,45-54,Philadelphia,East,USA,2019-11-18,Platinum,Upper-Mid,0,2
5224,Cameron King 224,Small Business,M,18-24,Dallas,South,USA,2022-06-25,Silver,Upper-Mid,1,1
5225,Skyler Davis 225,Small Business,M,25-34,Houston,South,USA,2022-09-15,Gold,Upper-Mid,1,1
5226,Avery Scott 226,Consumer,F,25-34,Los Angeles,West,USA,2022-11-28,Silver,Lower-Mid,0,1
5227,Jordan Wright 227,Corporate,M,35-44,Minneapolis,North,USA,2023-06-30,Silver,Lower-Mid,0,1
5228,Morgan Scott 228,Consumer,NA,35-44,Phoenix,West,USA,2023-11-19,Silver,Lower-Mid,0,2
5229,Jamie Allen 229,Small Business,M,18-24,Dallas,South,USA,2025-09-07,Silver,Mid,1,1
5230,Rowan Scott 230,Corporate,NA,45-54,Los Angeles,West,USA,2023-04-02,Bronze,Mid,0,1
5231,Rowan Lee 231,Small Business,M,35-44,Dallas,South,USA,2023-05-17,Silver,Mid,0,4
5232,Cameron Lewis 232,Home Office,NA,55+,Philadelphia,East,USA,2022-11-11,Platinum,Mid,0,2
5233,Alex Clark 233,Small Business,NA,55+,San Francisco,West,USA,2019-01-04,Gold,Upper-Mid,1,4
5234,Skyler Lewis 234,Consumer,NA,25-34,Detroit,North,USA,2023-04-17,Silver,Mid,0,1
5235,Parker Lewis 235,Consumer,M,45-54,Miami,South,USA,2020-09-23,Bronze,Upper-Mid,0,1
5236,Taylor King 236,Corporate,M,35-44,Chicago,North,USA,2020-07-10,Bronze,Mid,1,2
5237,Casey Hall 237,Consumer,M,25-34,San Francisco,West,USA,2021-07-13,Bronze,Mid,0,2
5238,Parker Allen 238,Consumer,M,18-24,Atlanta,South,USA,2019-06-05,Silver,Upper-Mid,0,1
5239,Jamie Hall 239,Consumer,M,35-44,Los Angeles,West,USA,2019-11-17,Silver,Mid,0,1
5240,Cameron Clark 240,Corporate,NA,45-54,Minneapolis,North,USA,2024-04-04,Silver,High,1,1
5241,Alex King 241,Consumer,NA,45-54,Philadelphia,East,USA,2025-04-27,Bronze,Mid,0,2
5242,Skyler Smith 242,Small Business,M,35-44,Minneapolis,North,USA,2020-06-03,Silver,Upper-Mid,0,1
5243,Alex King 243,Small Business,F,35-44,Philadelphia,East,USA,2025-08-20,Gold,Mid,1,1
5244,Parker Scott 244,Consumer,F,25-34,Miami,South,USA,2019-12-12,Platinum,Mid,0,3
5245,Morgan Young 245,Small Business,M,45-54,Phoenix,West,USA,2020-11-16,Bronze,Upper-Mid,1,2
5246,Casey Walker 246,Consumer,M,35-44,Chicago,North,USA,2024-12-21,Bronze,Mid,0,2
5247,Casey Smith 247,Consumer,M,55+,Boston,East,USA,2024-01-13,Silver,Lower-Mid,0,2
5248,Rowan Clark 248,Home Office,M,35-44,Chicago,North,USA,2022-01-21,Bronze,Lower-Mid,0,1
5249,Jamie Brown 249,Small Business,NA,35-44,Phoenix,West,USA,2021-03-09,Silver,Mid,1,1
5250,Alex Lewis 250,Small Business,F,35-44,Chicago,North,USA,2024-01-01,Bronze,Upper-Mid,0,1
5251,Rowan Green 251,Home Office,F,55+,Chicago,North,USA,2020-05-13,Gold,Low,0,4
5252,Cameron Young 252,Corporate,NA,45-54,Miami,South,USA,2021-01-26,Gold,Upper-Mid,0,2
